Agency Name,Metro Area
All Cities,
Adelaide Metro,"Adelaide, AUSouth Australia"
CDTA,"Albany, USNew York"
The Ride,"Ann Arbor, USMichigan"
U-M Transit,"Ann Arbor, USMichigan"
MARTA,"Atlanta, USGeorgia"
Capital Metro,"Austin, USTexas"
MDOT MTA,"Baltimore, USMaryland"
Barrie Transit,"Barrie, CANOntario"
Brockton Area Transit,"Boston, USMassachusetts"
MBTA,"Boston, USMassachusetts"
TransLink Brisbane,"Brisbane, AUQueensland"
NFTA,"Buffalo, USNew York"
Airdrie Transit,"Calgary, CANAlberta"
Calgary Transit,"Calgary, CANAlberta"
Pacific Surfliner,"California, USCalifornia"
BC Transit,"Central Fraser Valley, CANBritish Columbia"
CARTA,"Charleston, USSouth Carolina"
Pace Bus,"Chicago, USIllinois"
Metra,"Chicago, USIllinois"
CTA,"Chicago, USIllinois"
SORTA - Metro,"Cincinnati, USOhio"
TANK,"Cincinnati, USKentucky"
GCRTA,"Cleveland, USOhio"
COTA,"Columbus, USOhio"
CTTransit Hartford,"Connecticut, USConnecticut"
Hartford Line,"Connecticut, USConnecticut"
CTTransit Stamford,"Connecticut, USConnecticut"
CTTransit New Haven,"Connecticut, USConnecticut"
Shore Line East,"Connecticut, USConnecticut, New York"
CTTransit New Britain,"Connecticut, USConnecticut"
BC Transit,"Cowichan Valley, CANBritish Columbia"
DART,"Dallas, USTexas"
Greater Dayton RTA,"Dayton, USOhio"
Via Mobility Services - Boulder,"Denver, USColorado"
RTD,"Denver, USColorado"
SMART,"Detroit, USMichigan"
DDOT,"Detroit, USMichigan"
Edmonton Transit,"Edmonton, CANAlberta"
Strathcona County Transit,"Edmonton, CANAlberta"
St. Albert Transit,"Edmonton, CANAlberta"
STO,"Gatineau, CANQuebec"
The Rapid,"Grand Rapids, USMichigan"
Halifax Transit,"Halifax, CANNova Scotia"
Busit,"Hamilton, New ZealandWaikato"
HRT,"Hampton, USVirginia"
METRO,"Houston, USTexas"
IndyGo,"Indianapolis, USIndiana"
TCAT,"Ithaca, USNew York"
BC Transit,"Kamloops, CANBritish Columbia"
KCATA,"Kansas City, USKansas"
BC Transit,"Kelowna, CANBritish Columbia"
Kingston Transit,"Kingston, CANOntario"
Las Vegas Monorail,"Las Vegas, USNevada"
RTC Southern Nevada,"Las Vegas, USNevada"
London Transit,"London, CANOntario"
Culver CityBus,"Los Angeles, USCalifornia"
Riverside Transit Agency,"Los Angeles, USCalifornia"
West Hollywood - WeHo,"Los Angeles, USCalifornia"
LA Metro - Bus,"Los Angeles, USCalifornia"
Torrance Transit,"Los Angeles, USCalifornia"
Foothill Transit,"Los Angeles, USCalifornia"
Glendale Beeline,"Los Angeles, USCalifornia"
Big Blue Bus,"Los Angeles, USCalifornia"
Metrolink,"Los Angeles, USCalifornia"
OCTA,"Los Angeles, USCalifornia"
GTrans,"Los Angeles, USCalifornia"
Beach Cities Transit,"Los Angeles, USCalifornia"
LA DOT,"Los Angeles, USCalifornia"
Long Beach Transit,"Los Angeles, USCalifornia"
Santa Clarita Transit,"Los Angeles, USCalifornia"
LA Metro - Rail,"Los Angeles, USCalifornia"
ART,"Los Angeles, USCalifornia"
Pasadena Transit,"Los Angeles, USCalifornia"
Omnitrans,"Los Angeles, USCalifornia"
TARC,"Louisville, USKentucky"
Madison Metro,"Madison, USWisconsin"
Broward County Transit,"Miami, USFlorida"
Palm Tran,"Miami, USFlorida"
Tri-Rail,"Miami, USFlorida"
Miami-Dade Transit,"Miami, USFlorida"
MCTS,"Milwaukee County, USWisconsin"
Metro Transit,"Minneapolis-Saint Paul, USMinnesota"
Monterey-Salinas Transit,"Monterey, USCalifornia"
exo Haut-Saint-Laurent,"Montréal, CANQuebec"
exo Laurentides,"Montréal, CANQuebec"
exo La Presqu'Île,"Montréal, CANQuebec"
CRTL - Lanaudière,"Montréal, CANQuebec"
Saint-Jean-sur-Richelieu,"Montréal, CANQuebec"
STM,"Montréal, CANQuebec"
exo Terrebonne-Mascouche,"Montréal, CANQuebec"
RTL,"Montréal, CANQuebec"
STL,"Montréal, CANQuebec"
exo - Trains,"Montréal, CANQuebec"
exo Le Richelain,"Montréal, CANQuebec"
exo Roussillon,"Montréal, CANQuebec"
exo Sorel-Varennes,"Montréal, CANQuebec"
exo L'Assomption,"Montréal, CANQuebec"
exo Sud-Ouest,"Montréal, CANQuebec"
exo Vallée-du-Richelieu,"Montréal, CANQuebec"
MTA - Bronx Buses,"NYC, USNew York"
MTA - Queens Buses,"NYC, USNew York"
MTA - NYC Subway,"NYC, USNew York"
MTA - NYC Bus Company,"NYC, USNew York"
Long Island Rail Road,"NYC, USNew York"
Metro-North Railroad,"NYC, USConnecticut, New York"
MTA - Staten Island Buses,"NYC, USNew York"
MTA - Brooklyn Buses,"NYC, USNew York"
NY Waterway,"NYC, USNew York"
NICE Bus,"NYC, USNew York"
Suffolk County Transit,"NYC, USNew York"
PATH,"NYC, USNew Jersey, New York"
Bee-Line,"NYC, USNew York"
MTA - Manhattan Buses,"NYC, USNew York"
BC Transit,"Nanaimo, CANBritish Columbia"
Semitan,"Nantes, FRPays-de-la-Loire"
MTA & RTA,"Nashville, USTennessee"
NJ Transit - Bus,"New Jersey, USNew Jersey"
NJ Transit - Rail,"New Jersey, USNew Jersey"
Niagara Falls Transit,"Niagara, CANOntario"
Welland Transit,"Niagara, CANOntario"
WEGO Niagara Falls,"Niagara, CANOntario"
Niagara Region Transit,"Niagara, CANOntario"
St. Catharines Transit,"Niagara, CANOntario"
Lignes d'Azur,"Nice, FRProvence-Alpes-Côte-d’Azur"
TheBus,"Oahu, USHawaii"
Lynx,"Orlando, USFlorida"
OC Transpo,"Ottawa, CANOntario"
IDF Mobilités - Bus,"Paris, FRÎle-de-France"
RATP Bus,"Paris, FRÎle-de-France"
RATP Metro,"Paris, FRÎle-de-France"
IDF Mobilités - Tramways,"Paris, FRÎle-de-France"
IDF Mobilités - RER & Transiliens,"Paris, FRÎle-de-France"
SEPTA - Rail,"Philadelphia, USPennsylvania"
PATCO,"Philadelphia, USPennsylvania"
SEPTA - Bus,"Philadelphia, USPennsylvania"
Valley Metro,"Phoenix, USArizona"
PAAC,"Pittsburgh, USPennsylvania"
Greater Portland Metro Bus,"Portland, USMaine"
TriMet,"Portland, USOregon"
RIPTA,"Providence, USRhode Island"
RTC,"Québec, CANQuebec"
STL Lévis,"Québec, CANQuebec"
Regina Transit,"Regina, CANSaskatchewan"
University of California Berkeley - Bear Transit,"SF Bay Area, USCalifornia"
PresidiGo,"SF Bay Area, USCalifornia"
SamTrans,"SF Bay Area, USCalifornia"
Capitol Corridor,"SF Bay Area, USCalifornia"
Golden Gate Transit,"SF Bay Area, USCalifornia"
County Connection,"SF Bay Area, USCalifornia"
BART,"SF Bay Area, USCalifornia"
MUNI - SFMTA,"SF Bay Area, USCalifornia"
Caltrain,"SF Bay Area, USCalifornia"
AC Transit,"SF Bay Area, USCalifornia"
VTA,"SF Bay Area, USCalifornia"
UTA,"Salt Lake City, USUtah"
VIA,"San Antonio, USTexas"
NCTD,"San Diego, USCalifornia"
MTS,"San Diego, USCalifornia"
Santa Cruz Metro,"Santa Cruz, USCalifornia"
Saskatoon Transit,"Saskatoon, CANSaskatchewan"
Pierce Transit,"Seattle, USWashington"
Community Transit,"Seattle, USWashington"
City of Seattle,"Seattle, USWashington"
King County Metro,"Seattle, USWashington"
Sound Transit,"Seattle, USWashington"
STS,"Sherbrooke, CANQuebec"
Metro Transit St Louis,"St. Louis, USMissouri"
CTS,"Strasbourg, FRGrand-Est"
Hillsborough Area Regional Transit Authority,"Tampa, USFlorida"
PSTA,"Tampa, USFlorida"
Thunder Bay Transit,"Thunder Bay, CANOntario"
Oakville Transit,"Toronto, CANOntario"
MiWay,"Toronto, CANOntario"
TTC - Subway,"Toronto, CANOntario"
Durham Region Transit,"Toronto, CANOntario"
GO Transit,"Toronto, CANOntario"
TTC - Buses & Streetcars,"Toronto, CANOntario"
UP Express,"Toronto, CANOntario"
York Region Transit,"Toronto, CANOntario"
Burlington Transit,"Toronto, CANOntario"
Hamilton Street Railway,"Toronto, CANOntario"
Brampton Transit,"Toronto, CANOntario"
STTR,"Trois-Rivières, CANQuebec"
C-TRAN,"Vancouver, USWashington"
West Coast Express,"Vancouver, CANBritish Columbia"
TransLink,"Vancouver, CANBritish Columbia"
BC Transit,"Victoria, CANBritish Columbia"
Fairfax Connector,"Washington D.C., USVirginia"
Montgomery County Transit,"Washington D.C., USDistrict of Columbia"
WMATA,"Washington D.C., USDistrict of Columbia"
DC Circulator,"Washington D.C., USDistrict of Columbia"
BC Transit,"Whistler, CANBritish Columbia"
Transit Windsor,"Windsor, CANOntario"
Winnipeg Transit,"Winnipeg, CANManitoba"
Worcester RTA,"Worcester, USMassachusetts"
